home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Penn St.,Maryland,3,2021-02-05,B10,114.1,96.5,69.7,16.5,17.9,49.9,53.1,16.5,20.3,33.3,29.1,35.8,32.1,2.2,76.1,3,0,B10,111.6,95.0,65.9,17.8,18.7,52.8,50.4,16.2,16.9,22.5,25.4,35.1,35.5,1.85,78.3,3,1
Nevada,Boise St.,-3,2021-02-05,MWC,105.5,98.6,69.8,16.7,17.6,50.5,47.5,18.3,18.0,25.8,23.8,33.9,32.4,1.01,78.2,3,1,MWC,110.0,95.7,69.4,16.0,17.7,53.6,46.9,15.7,21.5,30.6,21.3,34.1,30.5,2.05,78.2,4,1
Kent St.,Akron,2,2021-02-05,MAC,107.8,100.3,72.0,17.2,16.3,53.5,48.8,19.0,16.7,35.5,27.5,36.1,33.3,2.22,77.3,4,1,MAC,105.7,99.0,68.9,17.2,17.2,53.5,47.9,18.5,16.6,28.5,24.3,33.4,30.4,1.93,75.6,4,0
North Texas,Louisiana Tech,5,2021-02-05,CUSA,105.1,95.6,64.4,17.8,17.5,56.2,45.3,19.9,21.2,26.5,26.5,39.1,31.0,2.33,76.9,4,1,CUSA,101.4,95.1,70.2,16.4,16.7,49.7,45.7,17.9,18.4,26.4,22.9,33.5,30.0,2.13,76.2,4,1
Old Dominion,Marshall,-4,2021-02-05,CUSA,100.8,99.3,67.0,17.6,17.4,47.5,52.1,19.0,20.5,28.6,26.6,30.2,36.1,2.33,76.8,4,1,CUSA,107.0,96.0,72.2,14.6,17.5,52.5,48.9,16.8,21.3,25.7,28.0,32.7,35.6,1.93,77.2,3,1
Florida Atlantic,Western Kentucky,-6,2021-02-05,CUSA,100.8,103.1,67.4,17.0,18.3,50.6,52.4,20.0,19.4,33.8,23.1,33.7,38.4,1.64,76.9,3,0,CUSA,108.5,98.6,68.1,17.6,16.1,50.1,49.8,20.3,19.0,32.0,22.3,33.1,36.3,2.16,76.3,4,1
UC Irvine,Cal St. Bakersfield,5,2021-02-05,BW,99.7,94.1,67.3,18.3,16.8,46.3,46.0,21.0,20.0,33.2,23.7,31.3,31.6,0.99,77.5,4,0,BW,101.2,99.8,66.1,18.8,16.7,46.6,48.5,20.0,20.8,39.3,24.7,31.7,32.8,2.7,77.0,3,1
South Alabama,Coastal Carolina,-2,2021-02-05,SB,103.4,108.8,66.3,17.1,18.4,53.2,53.9,19.7,20.8,26.7,30.8,38.4,36.8,2.0,75.9,2,1,SB,103.4,102.9,71.2,16.9,16.6,53.1,47.7,22.8,18.8,35.7,27.8,39.5,33.4,1.65,76.6,3,0
Texas St.,Little Rock,3,2021-02-05,SB,101.1,100.7,63.2,19.5,17.3,52.2,51.1,20.5,23.4,28.6,27.2,39.5,35.5,2.39,75.7,3,0,SB,102.6,103.1,67.7,17.1,17.3,51.8,49.7,22.6,20.9,32.5,29.5,31.3,33.3,1.95,77.8,3,1
South Dakota St.,South Dakota,7,2021-02-05,Sum,111.3,104.3,69.9,16.2,17.3,56.8,48.7,16.4,14.6,21.6,23.9,42.9,32.0,1.54,77.2,5,1,Sum,104.6,104.5,67.9,17.6,17.0,52.6,48.3,15.3,16.2,21.5,23.7,38.8,33.8,1.66,76.5,5,1
