home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Gonzaga,Iowa,99,88,118.0,88.8,75.7,0.083,119.1,94.6,74.2,0.01
Kansas St.,Baylor,69,100,99.9,98.4,66.5,0.158,116.5,87.4,69.7,0.003
Wisconsin,Louisville,85,48,110.7,87.3,67.6,-0.03,109.9,90.0,69.1,0.084
Florida St.,UCF,74,86,110.2,88.8,70.8,0.096,99.7,94.2,69.9,0.145
Ohio St.,UCLA,77,70,110.9,91.3,68.2,0.043,110.9,91.9,67.4,0.062
Kentucky,North Carolina,63,75,106.5,89.6,70.8,-0.318,108.6,89.6,72.4,-0.023
Stanford,Arizona,78,75,105.5,87.9,71.6,-0.061,106.9,90.3,70.5,0.111
Indiana St.,Ball St.,67,57,102.7,100.8,70.1,-0.005,101.4,98.4,70.5,0.059
Syracuse,Buffalo,107,96,108.0,89.6,72.8,0.039,103.3,98.7,74.6,-0.154
Indiana,Butler,68,60,108.3,87.6,69.9,-0.051,106.6,94.1,68.8,0.178
Loyola Marymount,Cal Poly,76,52,101.5,99.1,69.9,0.053,92.0,105.5,71.2,0.038
California,Cal St. Northridge,87,56,99.8,97.1,66.8,0.037,99.1,108.0,72.0,0.011
Pepperdine,UC Santa Barbara,63,75,105.8,99.2,72.4,-0.18,102.2,98.5,68.5,-0.114
N.C. State,Campbell,69,50,108.8,92.0,72.8,-0.097,98.2,105.7,68.5,0.167
UAB,Chattanooga,66,69,103.1,94.5,73.2,0.032,99.6,101.1,70.4,0.003
Georgia,Cincinnati,83,68,103.4,95.6,74.1,0.099,104.7,92.3,71.1,-0.081
Longwood,The Citadel,89,91,90.8,103.7,69.8,-0.194,95.5,109.3,76.2,0.0
Purdue Fort Wayne,Cleveland St.,61,63,95.7,100.4,71.5,0.0,95.1,101.0,70.5,-0.183
Saint Mary's,Colorado St.,53,33,107.4,94.9,65.2,0.104,106.9,100.9,71.2,0.0
Virginia Tech,Coppin St.,97,57,108.3,91.5,67.1,0.188,87.0,101.5,77.0,0.042
La Salle,Delaware,71,61,96.6,98.2,69.1,-0.051,98.1,104.5,68.5,0.182
Fairleigh Dickinson,Drexel,68,85,99.1,108.4,72.5,0.016,100.3,100.1,67.8,0.011
Northern Arizona,Eastern Washington,64,80,93.1,108.3,69.2,-0.0,101.9,99.0,73.7,-0.15
Niagara,Fairfield,81,61,94.7,102.0,68.6,-0.102,87.0,100.2,69.1,-0.09
Winthrop,Furman,87,71,105.3,99.5,74.4,0.09,108.6,96.2,70.0,-0.233
