teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,124.2,88.5,74.5,14.2,17.5,60.5,47.2,15.8,20.3,31.5,23.3,34.9,34.3,1.51,78.2,5,1
Baylor,B12,122.5,87.5,68.6,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1
Michigan,B10,117.6,89.3,67.6,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Illinois,B10,117.4,90.1,70.3,16.6,16.9,56.6,46.4,18.7,16.2,33.3,22.2,39.3,33.2,1.64,77.0,4,1
Iowa,B10,126.2,99.2,69.8,15.9,17.5,55.2,49.1,13.3,17.0,33.4,31.2,38.9,34.9,1.66,77.9,2,1
Houston,Amer,115.6,88.7,65.7,19.0,16.8,49.1,42.1,17.6,22.2,40.1,27.3,34.0,26.9,1.79,77.0,4,1
Ohio St.,B10,121.0,95.4,67.0,18.1,17.2,52.8,47.8,15.2,15.6,29.9,25.9,35.2,33.1,1.99,77.5,5,1
Villanova,BE,120.8,95.2,64.6,18.4,17.3,55.3,52.7,13.6,20.0,28.9,25.3,38.7,37.1,1.89,77.9,4,1
Virginia,ACC,116.0,90.6,59.9,20.0,18.8,57.9,47.7,15.4,16.2,22.2,21.5,39.5,33.0,1.9,77.8,4,1
Alabama,SEC,111.8,86.5,74.1,14.1,17.4,51.2,45.2,18.9,21.0,30.7,29.2,35.5,29.3,1.87,77.8,3,1
Colorado,P12,116.9,92.8,66.5,17.3,18.6,53.4,47.7,16.3,20.5,29.7,25.1,38.1,33.2,2.28,77.4,4,1
Wisconsin,B10,112.0,88.8,64.9,18.5,17.6,50.5,46.4,13.7,18.0,23.1,23.6,35.9,31.9,2.39,78.0,3,1
USC,P12,112.5,89.4,67.4,17.3,18.1,51.7,43.9,18.1,17.6,37.1,27.3,33.0,31.4,1.72,79.5,5,1
Tennessee,SEC,109.4,86.5,67.0,17.4,17.3,50.8,45.1,17.3,23.4,30.7,27.3,34.5,29.7,1.56,77.5,4,1
Loyola Chicago,MVC,111.6,88.9,65.5,17.8,18.6,57.8,46.3,17.8,22.3,24.2,21.8,35.8,31.5,2.23,76.2,5,1
Florida St.,ACC,115.2,93.3,69.5,16.8,17.4,54.2,46.9,20.2,20.2,35.8,29.3,37.9,33.2,1.99,79.6,4,0
West Virginia,B12,116.4,94.5,69.2,17.3,16.5,49.1,49.0,17.2,20.3,36.5,31.1,37.4,31.1,1.86,77.2,4,1
Texas,B12,113.3,92.0,68.9,16.2,18.1,51.8,45.6,19.2,17.5,31.8,27.2,34.2,31.2,1.89,77.9,2,1
Texas Tech,B12,111.9,90.6,66.2,17.8,17.7,49.1,47.5,16.1,24.7,34.6,28.7,33.9,35.0,1.43,76.9,3,0
Creighton,BE,114.4,93.4,69.4,15.9,17.9,56.2,46.5,16.1,18.7,24.3,29.4,36.3,33.1,2.24,77.0,4,1
San Diego St.,MWC,111.5,91.1,66.0,16.6,18.6,53.3,47.8,17.5,22.9,32.2,22.7,38.1,33.9,2.42,76.6,5,1
Kansas,B12,112.1,91.8,68.8,16.2,17.7,50.4,48.3,17.9,19.3,32.2,26.3,34.9,34.3,1.48,78.2,3,1
Purdue,B10,112.4,92.3,66.1,18.6,17.3,50.8,49.3,19.3,17.1,33.0,24.0,33.9,32.3,1.04,78.4,2,0
Oklahoma,B12,112.4,92.3,67.7,17.1,17.4,50.9,48.3,15.5,19.6,29.0,26.9,33.7,37.0,2.07,77.0,4,1
Arkansas,SEC,111.5,91.9,72.7,15.8,15.9,51.1,47.5,17.0,20.5,33.1,25.1,33.9,31.7,1.56,78.0,4,1
