home,away,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
UC Riverside,Hawaii,98.3,99.1,67.8,-0.156,98.8,103.8,72.3,0.0
Northeastern,Hofstra,99.6,99.0,68.5,0.031,103.0,101.8,70.3,0.03
Lamar,Houston Baptist,91.9,104.6,71.5,-0.025,94.5,113.3,72.3,0.035
Southern Utah,Idaho,103.2,105.7,70.3,0.034,92.4,110.9,70.1,-0.11
Northern Arizona,Idaho St.,97.3,111.5,65.1,0.069,96.5,106.5,67.0,-0.016
Evansville,Illinois St.,97.0,105.0,62.9,0.091,98.0,105.7,71.8,-0.028
New Orleans,Incarnate Word,94.6,108.2,70.1,-0.086,92.7,110.5,68.1,-0.011
Milwaukee,IUPUI,98.4,102.9,70.0,-0.105,96.4,106.8,73.2,0.025
Morehead St.,Jacksonville St.,94.2,103.4,65.6,0.085,96.7,102.1,66.9,0.027
Liberty,Kennesaw St.,105.6,99.7,65.0,-0.076,87.5,106.7,68.3,-0.135
Florida,Kentucky,111.8,92.8,71.4,0.033,106.6,91.8,69.0,-0.158
Bucknell,Lafayette,95.8,103.2,72.6,-0.071,101.4,106.9,69.9,-0.232
Bellarmine,Lipscomb,98.9,107.4,67.8,-0.176,101.5,106.5,67.5,0.08
Cal St. Fullerton,Long Beach St.,91.6,104.8,71.7,-0.183,99.5,107.7,75.4,0.242
Western Kentucky,Louisiana Tech,107.6,98.9,69.9,0.145,102.5,97.4,70.5,0.016
NJIT,Maine,99.0,102.2,69.6,0.096,88.4,106.9,65.5,0.005
Quinnipiac,Manhattan,95.1,104.2,69.7,0.129,90.6,104.4,68.3,0.002
Monmouth,Marist,101.6,102.7,76.4,-0.154,93.3,100.4,67.7,0.175
New Hampshire,UMBC,94.5,100.7,69.7,0.011,98.1,101.7,70.5,0.016
N.C. State,Miami FL,110.1,93.5,71.2,-0.026,104.9,93.0,71.1,-0.165
Vanderbilt,Mississippi St.,103.3,100.6,69.2,-0.076,110.0,97.6,65.1,-0.076
Valparaiso,Missouri St.,99.1,99.8,69.7,-0.191,104.3,101.1,70.6,0.052
Northern Colorado,Montana St.,96.7,102.8,69.5,0.089,98.9,102.5,70.1,-0.049
Norfolk St.,Morgan St.,95.8,101.8,67.5,0.125,93.6,104.8,70.4,0.051
Lehigh,Navy,97.4,108.4,71.0,0.232,100.9,102.6,66.6,0.335
North Dakota St.,Nebraska Omaha,100.5,100.6,65.3,0.01,96.0,103.8,72.1,-0.034
San Diego St.,Nevada,109.7,91.7,65.6,-0.011,103.0,98.7,70.8,0.034
Colorado St.,UNLV,105.0,95.9,72.5,0.091,104.6,101.8,69.2,-0.103
Hampton,UNC Asheville,93.3,108.6,73.4,0.054,99.9,105.8,69.5,-0.064
Oral Roberts,North Dakota,106.6,107.6,71.4,-0.101,94.4,104.9,67.5,0.033
Jacksonville,North Florida,93.2,104.3,69.0,0.177,100.3,111.0,68.4,-0.07
UTSA,North Texas,103.2,107.5,72.6,-0.116,103.3,96.1,65.7,-0.138
Miami OH,Northern Illinois,99.7,103.5,66.8,0.013,93.2,106.0,65.0,-0.059
Cleveland St.,Northern Kentucky,97.4,98.8,67.7,0.197,98.8,103.8,67.5,0.076
McNeese St.,Northwestern St.,96.3,111.4,71.1,-0.127,96.0,109.1,72.9,-0.084
Green Bay,Oakland,100.3,109.0,67.7,-0.044,99.9,108.9,70.7,0.013
Kansas St.,Oklahoma St.,102.6,101.2,65.3,0.07,109.6,92.7,72.6,-0.069
Charleston Southern,Radford,92.4,104.9,67.7,-0.128,95.5,105.2,63.7,-0.006
VCU,Rhode Island,104.8,90.4,70.7,-0.003,104.8,94.4,70.6,-0.094
UTEP,Rice,101.9,101.2,68.3,-0.064,100.8,106.7,70.6,0.022
George Mason,Richmond,101.8,99.4,68.9,0.038,111.3,97.7,70.6,0.052
Niagara,Rider,101.2,106.4,65.7,-0.069,98.9,110.4,67.4,-0.02
Central Arkansas,Sam Houston St.,99.2,105.5,75.0,0.018,96.9,103.6,73.1,0.138
Saint Mary's,Santa Clara,106.0,94.1,63.3,0.122,98.1,94.3,71.0,0.161
DePaul,Seton Hall,105.5,97.1,73.2,-0.112,111.4,95.8,68.2,0.035
Fairfield,Siena,89.0,103.2,67.6,-0.1,102.4,99.8,68.0,0.209
Coastal Carolina,South Alabama,103.1,103.2,71.8,0.002,102.4,107.0,67.8,-0.094
UMKC,South Dakota,95.5,102.5,64.4,-0.228,101.8,103.9,69.3,-0.098
East Carolina,South Florida,100.2,96.7,68.3,0.061,101.0,94.5,68.0,0.026
Tennessee St.,Southeast Missouri St.,91.4,103.0,70.8,-0.142,94.9,108.1,68.7,-0.002
Nicholls St.,Southeastern Louisiana,99.0,104.5,71.3,-0.025,92.4,108.4,68.6,0.011
Grambling St.,Southern,92.0,105.0,70.0,-0.049,95.0,105.2,70.2,-0.033
Arizona St.,USC,108.9,95.8,75.2,0.015,110.8,90.7,69.3,-0.056
UAB,Southern Miss,104.5,96.8,70.8,-0.031,94.4,104.6,65.3,0.039
North Alabama,Stetson,96.1,105.7,72.4,-0.136,100.2,106.3,68.6,0.101
Belmont,Tennessee Martin,105.5,98.4,71.9,0.004,95.9,113.9,69.8,0.082
Eastern Kentucky,Tennessee Tech,96.7,98.1,77.1,0.058,91.4,105.1,70.6,-0.102
Louisiana Monroe,UT Arlington,93.1,103.9,67.7,0.015,101.6,102.3,71.8,-0.066
Arizona,UCLA,111.3,93.9,70.1,0.041,113.1,95.1,65.2,0.095
Binghamton,Vermont,94.2,111.5,67.2,-0.052,103.3,98.9,68.2,-0.166
California,Washington,101.7,100.5,66.3,-0.048,99.5,96.5,70.9,-0.158
Stanford,Washington St.,106.8,89.7,72.6,0.037,98.0,93.2,68.9,0.079
South Dakota St.,Western Illinois,110.2,103.0,71.3,0.102,94.2,109.7,72.0,-0.128
Kent St.,Western Michigan,103.6,101.9,70.8,-0.223,95.8,103.5,66.3,-0.129
UNC Greensboro,Wofford,102.6,98.0,70.9,-0.016,106.0,103.6,66.8,-0.059
Wright St.,Youngstown St.,103.1,95.7,72.8,-0.057,105.5,109.9,65.6,0.074
